Consecutivo;Tipo_entidad;Codigo_Entidad;Fecha_Corte;  Area;Tipo_Informe;CIDT        ;Codigo_Formato;Codigo_Clase;Codigo_Grupo;Codigo_Cuenta;Cod_SubCuenta;COL0                ;COL1                ;COL2
         27;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           4;           1;           91;           10;2230050.00          ;2230050.00          ;?
        105;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           74;           26;451263.00           ;451263.00           ;?
        347;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           94;           56;3130947382.09       ;3130947382.09       ;?
        463;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           75;            7;955136711.33        ;955136711.33        ;?
         15;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           6;           4;           30;           28;1595320663.52       ;1595320663.52       ;?
        156;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           88;           14;235573177.42        ;229730087.11        ;5843090.31
        631;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           74;           78;68895679.00         ;68895679.00         ;?
        394;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           75;           31;1114558712.28       ;1114558712.28       ;?
        559;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           97;           75;3474728.25          ;3474728.25          ;?
        618;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           94;           80;16653407.01         ;16653407.01         ;?
         26;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           10;           95;25248953.86         ;25248953.86         ;?
        227;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           97;           55;347067941.63        ;347067941.63        ;?
        216;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           4;           1;            2;            8;3814796150.12       ;3814796150.12       ;?
